"chr"	"start"	"end"	"wgs_block"	"file_name"
"1"	"1"	"50000"	"b0"	"ukb24304_c1_b0_v1.vcf.gz"
"1"	"50001"	"1e+05"	"b1"	"ukb24304_c1_b1_v1.vcf.gz"
"1"	"100001"	"150000"	"b2"	"ukb24304_c1_b2_v1.vcf.gz"
"1"	"150001"	"2e+05"	"b3"	"ukb24304_c1_b3_v1.vcf.gz"
"1"	"200001"	"250000"	"b4"	"ukb24304_c1_b4_v1.vcf.gz"
"1"	"250001"	"3e+05"	"b5"	"ukb24304_c1_b5_v1.vcf.gz"
"1"	"300001"	"350000"	"b6"	"ukb24304_c1_b6_v1.vcf.gz"
"1"	"350001"	"4e+05"	"b7"	"ukb24304_c1_b7_v1.vcf.gz"
"1"	"400001"	"450000"	"b8"	"ukb24304_c1_b8_v1.vcf.gz"
"1"	"450001"	"5e+05"	"b9"	"ukb24304_c1_b9_v1.vcf.gz"
"1"	"500001"	"550000"	"b10"	"ukb24304_c1_b10_v1.vcf.gz"
"1"	"550001"	"6e+05"	"b11"	"ukb24304_c1_b11_v1.vcf.gz"
"1"	"600001"	"650000"	"b12"	"ukb24304_c1_b12_v1.vcf.gz"
"1"	"650001"	"7e+05"	"b13"	"ukb24304_c1_b13_v1.vcf.gz"
"1"	"700001"	"750000"	"b14"	"ukb24304_c1_b14_v1.vcf.gz"
"1"	"750001"	"8e+05"	"b15"	"ukb24304_c1_b15_v1.vcf.gz"
"1"	"800001"	"850000"	"b16"	"ukb24304_c1_b16_v1.vcf.gz"
"1"	"850001"	"9e+05"	"b17"	"ukb24304_c1_b17_v1.vcf.gz"
"1"	"900001"	"950000"	"b18"	"ukb24304_c1_b18_v1.vcf.gz"
"1"	"950001"	"1e+06"	"b19"	"ukb24304_c1_b19_v1.vcf.gz"
"1"	"1000001"	"1050000"	"b20"	"ukb24304_c1_b20_v1.vcf.gz"
"1"	"1050001"	"1100000"	"b21"	"ukb24304_c1_b21_v1.vcf.gz"
"1"	"1100001"	"1150000"	"b22"	"ukb24304_c1_b22_v1.vcf.gz"
"1"	"1150001"	"1200000"	"b23"	"ukb24304_c1_b23_v1.vcf.gz"
"1"	"1200001"	"1250000"	"b24"	"ukb24304_c1_b24_v1.vcf.gz"
"1"	"1250001"	"1300000"	"b25"	"ukb24304_c1_b25_v1.vcf.gz"
"1"	"1300001"	"1350000"	"b26"	"ukb24304_c1_b26_v1.vcf.gz"
"1"	"1350001"	"1400000"	"b27"	"ukb24304_c1_b27_v1.vcf.gz"
"1"	"1400001"	"1450000"	"b28"	"ukb24304_c1_b28_v1.vcf.gz"
"1"	"1450001"	"1500000"	"b29"	"ukb24304_c1_b29_v1.vcf.gz"
"1"	"1500001"	"1550000"	"b30"	"ukb24304_c1_b30_v1.vcf.gz"
"1"	"1550001"	"1600000"	"b31"	"ukb24304_c1_b31_v1.vcf.gz"
"1"	"1600001"	"1650000"	"b32"	"ukb24304_c1_b32_v1.vcf.gz"
"1"	"1650001"	"1700000"	"b33"	"ukb24304_c1_b33_v1.vcf.gz"
"1"	"1700001"	"1750000"	"b34"	"ukb24304_c1_b34_v1.vcf.gz"
"1"	"1750001"	"1800000"	"b35"	"ukb24304_c1_b35_v1.vcf.gz"
"1"	"1800001"	"1850000"	"b36"	"ukb24304_c1_b36_v1.vcf.gz"
"1"	"1850001"	"1900000"	"b37"	"ukb24304_c1_b37_v1.vcf.gz"
